negocio,rubro,contacto_email,contacto_tel,ciudad,fuente,secuencia,estado,notas
Temple Gym,Gimnasio,,,San Fernando del Valle de Catamarca,Instagram @temple.gm,B,pendiente,"VERIFICAR IG/tel. Los Sauces. Confirmar handle real antes de escribir"
VOLT Fitness Gym,Gimnasio,,3834357290,San Fernando del Valle de Catamarca,Google Maps,B,pendiente,"VERIFICAR tel. Av Misiones esq Lucas Mendoza"
Gold's Energym SF,Gimnasio,,,San Fernando del Valle de Catamarca,Instagram @goldsenergym_sf,B,pendiente,"VERIFICAR IG. Constitución 642 2do piso"
Wellness Gym,Gimnasio,,3834811819,San Fernando del Valle de Catamarca,Facebook,B,pendiente,"VERIFICAR tel. Av Virgen del Valle 334"
FitCenter GYM,Gimnasio,,,San Fernando del Valle de Catamarca,Facebook,B,pendiente,"VERIFICAR contacto en su página de FB"
Kaplan Cervecería,Gastronomía,,,San Fernando del Valle de Catamarca,Instagram @kaplancerveceria,A,pendiente,"VERIFICAR IG/tel. Cervecería artesanal"
Cervecería 1986,Gastronomía,,,San Fernando del Valle de Catamarca,RestaurantGuru,A,pendiente,"VERIFICAR contacto. Cerveza artesanal + pizzas/lomitos"
Wakani Cervecería Artesanal,Gastronomía,,,San Fernando del Valle de Catamarca,Google Maps,A,pendiente,"VERIFICAR contacto"
Doña Icha,Gastronomía,,,San Fernando del Valle de Catamarca,Instagram @dona_icha_,A,pendiente,"VERIFICAR IG. Gastronomía local"
AF Studio Cejas & Lashes,Estética/Belleza,,,San Fernando del Valle de Catamarca,Directorio estética,C,pendiente,"VERIFICAR contacto. Tucumán 738. Cejas y pestañas"
Davana Centro de Belleza,Estética/Belleza,,,San Fernando del Valle de Catamarca,Directorio estética,C,pendiente,"VERIFICAR contacto. República 779"
Cimo Spa,Estética/Belleza,,,San Fernando del Valle de Catamarca,Directorio estética,C,pendiente,"VERIFICAR contacto. General Díaz 350. Estética facial/corporal"
Mechita's Peluquería,Estética/Belleza,,,San Fernando del Valle de Catamarca,Directorio estética,C,pendiente,"VERIFICAR contacto. Rojas 628. Unisex"
Peluquería y Belleza Divas,Estética/Belleza,,3834613375,San Fernando del Valle de Catamarca,Facebook,C,pendiente,"VERIFICAR tel (alt 3834288144). Peinados, maquillaje, manicura"
Peluquería Mi Look,Estética/Belleza,,,San Fernando del Valle de Catamarca,Facebook,C,pendiente,"VERIFICAR contacto en su página de FB"
Fecor Corralón y Ferretería,Ferretería/Corralón,,,San Fernando del Valle de Catamarca,AiYellow,C,pendiente,"VERIFICAR contacto. Gob. Ramón Correa 558, Bº San Jorge"
Comercial Catamarca SRL,Ferretería/Corralón,,,San Fernando del Valle de Catamarca,elferretero.com.ar,C,pendiente,"VERIFICAR contacto. Padre Pedro García s/n, Bº La Chacarita"
